Date,SPY B&H,EW 1/N,Static MVP,Static TPF,VIX-MVP,VIX-TPF,HMM-MVP,HMM-TPF,GMM-MVP,GMM-TPF,Ensemble-MVP,Ensemble-TPF
2007-01-05,-0.008202329730763574,-0.0065507431648675575,-0.009081395136732704,-0.013704475735646126,-0.00895958742977226,-0.012886935811897468,-0.00909362102012715,-0.013138468310892283,-0.007865057618472783,-0.009059283382866903,-0.008979273514249035,-0.012226911195622194
2007-01-08,0.004419255503500011,0.0014482127364515694,0.0007499465986454479,0.00011564498242632008,0.0007500756671631205,0.0016867858713359033,0.0007659095319799393,0.0006310186628297895,0.0009328034565616456,0.0009132533635476017,0.0007709514721861065,0.0016662102589912273
2007-01-09,-0.0010471709836789478,-0.0004032555496823094,0.0006357081356802105,0.0023288499344239415,0.0006328331196083148,-0.00027592703978089963,0.0006392344910218084,0.0015036068337470516,2.646853396250483e-05,-0.001498318511554898,0.0006113197932334938,0.0003109855600817214
2007-01-10,0.003129662066661233,0.0009896583711671738,0.0018917299176483843,0.0020203702767692955,0.0018074030352676308,0.001757354249857675,0.0018723030209414268,0.002031375452635538,0.001022899624003818,-0.002097922825041401,0.0017889118672756985,0.00211030747487619
2007-01-11,0.004174012446690084,0.0064797133119605605,0.006377166029216079,0.004750596812524825,0.006365363341868797,0.0038684258306932334,0.0062884844831871305,0.004567467021264319,0.0065419972051073295,0.0022471482508201663,0.006273228749525988,0.004628618941445721
2007-01-12,0.007372126537078757,0.004290524022676899,-0.0009861800617932185,-0.004247282063170448,-0.0007957440241145418,-0.0034883276925105206,-0.001028825881932544,-0.003981915757695803,0.0011564979074671635,0.0010322477445840787,-0.0008573261861614261,-0.0028111117466242527
2007-01-16,-0.0021533770108120953,0.0006771848112786184,0.0011637178010913238,0.0028919587898883553,0.0011078475471622208,0.0027213357099227314,0.001178492436004439,0.0026569024710171103,0.0012240716860200047,0.0013277365418190345,0.0011376462330554085,0.0027890426329066713
2007-01-17,0.00022174613203785538,0.0009807640774585687,0.003517862789023314,0.0013054138166923993,0.0035310513072215706,-0.0004146378542994511,0.0034625064411346208,0.0009584457432955619,0.0035856385512862904,0.0028473796133662316,0.0034826154759650414,-0.0004043616721402468
2007-01-18,-0.0035596125353075272,-0.0031954039951496804,-0.0005830482988983992,0.0013048768511653595,-0.0005568402735489457,-0.002071501887191699,-0.0006832238204930929,2.5853217912416476e-05,-0.0003645284048537812,-0.0032991281520577185,-0.0006842186272229103,-0.0012844331495215377
2007-01-19,0.0017644028911853098,0.004920526873301429,0.0014296187340791314,-2.746938271536052e-05,0.0015590078118613425,0.001323285120874953,0.0014578943043828732,0.0004688030607392115,0.0021521018669989848,0.004407727648373373,0.0015665390364967009,0.0011404988408492142
2007-01-22,-0.003284063375170509,-0.0057809474291117425,-0.0025173609866354562,-0.0026215608208068333,-0.002569046942726054,-0.0010560640506509893,-0.0025431703323544694,-0.0019935005121229166,-0.0038850287753205773,-0.005017179928567351,-0.0026074121147401617,-0.0016431177026097338
2007-01-23,0.0027473956326747044,0.005947612948505824,0.0015166486615736238,0.0045832134971960006,0.0016364004041007343,0.002496968288265342,0.0017669864964992025,0.0037926356876574023,0.002365008003290386,0.010481942472919791,0.001879767472961479,0.002571788386436476
2007-01-24,0.007822715815642468,0.006286509865178963,0.004370824124110427,0.0033025697517834554,0.0043787005261713315,0.0064010271509281,0.0042482935964281,0.004202179739415005,0.004442541992013727,0.0016386473662021593,0.004243215846857328,0.006118720653432259
2007-01-25,-0.012007906638690778,-0.009429772638672779,-0.005057351051041911,-0.00662435525016282,-0.005264497084988745,-0.00833062967058432,-0.005087638461323877,-0.0069079579795531185,-0.006312247634971516,-0.006398991838825484,-0.005224187205651978,-0.009210393272988508
2007-01-26,-0.0011124928530101567,-0.0018939777823355193,-0.003367179441502288,-0.0035182525590219164,-0.003352531698375934,-0.0007443281199600184,-0.0033286170424457894,-0.002639886543833054,-0.003462287655388312,-0.0021324820339410754,-0.0033176923204358082,-0.00119672605889118
2007-01-29,-0.0007611392729030311,-0.00021250024852258417,0.0013942758760319416,0.002811575108207847,0.0013630300219016846,-0.0007976859698363561,0.0014449405045155342,0.0017594930558147434,0.0006486603652202939,0.0010418231787868585,0.0014098255987394445,-0.0004799291218010849
2007-01-30,0.004998028617023394,0.004485301202100143,0.0018437632794708596,0.0025157369314913864,0.001950364010629777,0.0031845652371305707,0.0018027985269656378,0.002443041009114154,0.0031400345454692556,0.004577447261600283,0.001894638043764372,0.0031266489814525673
2007-01-31,0.00650282613283429,0.006688568177666202,0.003906292646072927,0.00554271667065448,0.003968192092208435,0.005639192353072272,0.003985457659214463,0.005345031817001396,0.005023169444963349,0.006849595741405953,0.0040434805558262595,0.0061731013835665165
2007-02-01,0.005766762887613927,0.005427417793360208,0.005710400823707221,0.006251317860892791,0.005660525315340519,0.007037673498472539,0.00570712979528481,0.006333270665276157,0.0061242413788487006,0.0074076279292652055,0.00568853400574172,0.006637206765957514
2007-02-02,0.0011836083924781637,0.0023411349106722467,0.001632442704248377,0.0040749285528002685,0.001649099097198393,0.0034006188234302374,0.0017300713946537477,0.0037316426274481515,0.0015654620701361199,0.0046074583912875545,0.0017407930092503282,0.00330300825443966
2007-02-05,7.818624350142321e-05,-0.00044242438009747933,0.0003915787326450719,0.0047995120084106495,0.00031136860599862885,0.004588476015990725,0.00045699650714265593,0.004281351374165791,0.0005059431911307846,0.005289829003015628,0.0004119676716893494,0.0036965461385040396
2007-02-06,7.706402683519371e-05,0.0011082724269048387,-0.0006045144592205288,0.004141356211184421,-0.0006571850338628277,0.0044676723662654605,-0.0004891122685677274,0.004184914972652976,-0.0004135049827485162,0.0019057932354994197,-0.0005319928739997968,0.004639955966334684
2007-02-07,0.0020073167147884106,0.0008225231771802311,-0.0002991468690617954,0.0032363021420374807,-0.00043576506912544854,0.0037699024580847606,-0.00041499668455785555,0.0032231398339205974,0.00011620428298181773,0.0004264652725993159,-0.00044920400177533913,0.003409092112386186
2007-02-08,-0.0015084888669215626,-0.0002604592503426081,-0.0006929656554287891,-0.0002816884155715585,-0.0006294302264467254,-0.0007001459261092215,-0.000719063062260769,3.325995970143242e-05,-0.0005949840134892054,8.077637679936985e-05,-0.0006696120531558963,-0.0005480939716764246
2007-02-09,-0.007674063211956716,-0.005157871058690562,-0.0010666321637528991,-0.002099155872449504,-0.001102413504245566,-0.0038351416465051027,-0.0010068548109538789,-0.002060558813952846,-0.0022477734376148174,-0.002015340418701388,-0.0010420683270450292,-0.004032208071423246
2007-02-12,-0.0036090780527943487,-0.0035347339637578656,-0.0036195430212781344,-0.003722796364481135,-0.0036814473269986335,-0.0038069441488999376,-0.0035423036663051856,-0.003615481886776313,-0.004082248629460026,-0.004246039509082227,-0.0036023253126097146,-0.003107303220970662
2007-02-13,0.00820034132449026,0.008500297120773194,0.004838562595888213,0.007780314356247689,0.004864610566888409,0.008060503740703781,0.004926467212550172,0.008947581701780357,0.005725898371087399,0.00928890783613808,0.004953747360979312,0.009275117322990908
2007-02-14,0.006346963690161216,0.007342925724704407,0.0056947664699982855,0.006965822820918533,0.005630986278586345,0.0071344202933789356,0.005797395069823463,0.006105202097145997,0.005835351978203994,0.007785642145201615,0.00575376672676537,0.006876662556794126
2007-02-15,0.0011046730412041406,0.000906836125795991,0.0018551089163208986,-0.0036705681253349177,0.0018939726280673994,-0.0030684041000378385,0.0017353383004636974,-0.0028249239674676663,0.0013690325701497413,-0.004069654724817772,0.001733536690765543,-0.0021290945885529848
2007-02-16,-0.000679809535322043,-0.001671509172655075,-0.00010996253111058645,0.0006699377409186794,-3.015541351501094e-05,0.00029686068715755745,6.800511161345932e-05,4.743744179803638e-05,-0.000822847478336021,-0.0007354056627397894,4.980905398472605e-05,-0.0003194043879074251
2007-02-20,0.0019252270995823934,0.002008226004303313,0.0027756491770775833,0.003920803887696426,0.00273891092020704,0.004283088674879223,0.002864935133521767,0.004574978542134071,0.0020390926697955508,-1.9341393191023567e-05,0.0027875975780567728,0.004758394011149561
2007-02-21,-0.0006109399413540037,-0.0006783998695255107,-0.0047346414647304585,-0.004462759969570315,-0.004645335839580803,-0.004347001276107676,-0.004631753509712548,-0.0036327340794248416,-0.0036147315301072996,0.00048291296288742865,-0.004564903423485593,-0.0032852880340994836
2007-02-22,-0.0009541302999807321,-0.00011744794021967551,-0.0018916200656842882,-0.000920630389626227,-0.001864664300391853,-0.0012389580948028874,-0.0019080073339736027,-0.0005481354727226428,-0.0014071036700706956,0.0006498104339937894,-0.0018630725700558408,-0.0011509987896132655
2007-02-23,-0.004115017054555758,-0.0002938529020328404,0.0016051755346038136,0.004009592530076201,0.001614493873626351,0.002083900544051858,0.001864693056113146,0.005307867457638482,0.00046350723414237085,0.0032774976000298204,0.0018158309238463877,0.0022969009723261364
2007-02-26,-0.0010951148075180339,0.0018143773733818125,0.005931757904436052,0.00998096234805011,0.0057347259747683845,0.0068946275621684875,0.005872318422146553,0.009720872545767317,0.004504031706770485,0.0075084847673624385,0.00581827950220369,0.00672312653808513
2007-02-27,-0.04003924684979871,-0.03635989470049481,-0.02880769102421295,-0.03795620834544314,-0.02870351050120778,-0.03979585811483575,-0.028697227834709942,-0.03598120731825034,-0.031024201743935297,-0.03651441999784057,-0.028736338805465684,-0.03960514591707763
2007-02-28,0.01000056834935172,0.005406962839787457,0.0046026477862547155,0.009606150402608097,0.004480451407899742,0.010482780441485295,0.004439041203083213,0.006296420991147737,0.0051812616193597566,0.006204523803601922,0.004432753680549379,0.009043179636096577
2007-03-01,-0.0031824751562821037,-0.0019740629287887316,0.0003673154556019318,0.0005106175530959634,0.00042391684413076224,-0.0004224440803724553,0.0006018963525644449,-0.0007325177651715283,-0.0008641177371959526,-0.0005019990649823182,0.0005565765472391985,-0.0010533779612285445
2007-03-02,-0.013379062417209764,-0.013424876928707178,-0.014046411358765365,-0.013625513065318059,-0.014121434851420896,-0.012673436580781426,-0.014287836281349478,-0.013080632709312838,-0.01290649810149346,-0.013445184711011655,-0.014253282435565335,-0.012891639961954434
2007-03-05,-0.009761446199959722,-0.008621933748498492,-0.006332482932022441,-0.012925180046929236,-0.006301306571701017,-0.013945612346136655,-0.006342862828180001,-0.012564593044373048,-0.007282219147392756,-0.00997992471265984,-0.006347989242214003,-0.013832627828604876
2007-03-06,0.01676779397870113,0.014953588289010987,0.010104388309699163,0.015592906818880894,0.010086449948058736,0.016791125619698487,0.010105142984580729,0.01530343877961427,0.01147204698771568,0.014869850250117346,0.010131771545515988,0.017028476113122578
2007-03-07,-0.001199081769898942,-0.002626112539950781,-0.0021553410560092813,-0.003001869107091196,-0.002098827067311196,-0.0031140613823712406,-0.002266646935253498,-0.002256531013164477,-0.001345835937675981,-0.00030688369713197577,-0.0021845870808989074,-0.003173475296380925
2007-03-08,0.008223040595170091,0.007454546032038753,0.006841110509970534,0.0053819845997633885,0.0069423310296907945,0.005803702315658293,0.006789256425776777,0.006354085047993541,0.006337684706705846,0.0064327038395366925,0.00684394222050117,0.006752935145243304
2007-03-09,8.742284399951015e-05,0.002402024782545378,0.001774560708922936,-0.0005550985004271259,0.0016451957673786106,0.0006360003103987224,0.0014339263528152938,0.0017075643577658688,0.0012975643395525223,6.99966347901962e-05,0.0014683390211416992,0.0019182107378186407
2007-03-12,0.0012945546253602031,0.002292837526497085,0.002023781830016993,0.009210191419353503,0.0021359885116267133,0.008592714490170749,0.0025857987027722447,0.0069177779483924695,0.002063183878317622,0.0056852749046311475,0.0025250079525590973,0.005816862944023544
2007-03-13,-0.019821171901991407,-0.01900791343584581,-0.017659358150536014,-0.014578751740443815,-0.01759586512588818,-0.015598335094974911,-0.017346864757612213,-0.016753581082424928,-0.017260178936271818,-0.015029581943463322,-0.017380831128214227,-0.018867992997793456
2007-03-14,0.007227482931876077,0.004487918784679983,0.002998443760508225,0.00488007654203886,0.0030871263550867833,0.005000000539556907,0.0031980515900566636,0.0042555644654405055,0.003429552505597664,0.005350465739118647,0.0032036714633408916,0.003955624220079695
2007-03-15,0.0011688518624895941,0.006718453264096037,0.00937457934631171,0.01298712976886657,0.00955391048597231,0.013553985917249226,0.009715270917973341,0.012616166051818985,0.007466419047811041,0.006365758187315427,0.00965243703945214,0.012556618069961415
2007-03-16,-0.0029977130208374433,-0.0034731949198863257,-0.0021749106109168106,-0.0039700624016817685,-0.002402483433405142,-0.004401763087272844,-0.002477310945929427,-0.004655722321729639,-0.0022605278693681396,-0.002847730172492502,-0.0024765749049561266,-0.004597811813841232
2007-03-19,0.011788762668287647,0.009462441489996455,0.007019248020239749,0.0076195299977156105,0.007098023101401115,0.008307454006692824,0.007102392813194132,0.00956646160545675,0.007945810567529129,0.008857834193806736,0.007122956324910793,0.009163054823165727
2007-03-20,0.005282252160899672,0.007111004929003583,0.008782183558562168,0.013433500116141488,0.008974264901299036,0.012497845105227685,0.00929639243419117,0.011142103126399367,0.008291791206561117,0.009017820726761425,0.009221876665427033,0.010711637193668746
